model,split,date,n_points,calendar_n_eval,calendar_violations,calendar_rate,calendar_severity,monotonicity_n_eval,monotonicity_violations,monotonicity_rate,monotonicity_severity,convexity_n_eval,convexity_violations,convexity_rate,convexity_severity,mean_instability,risk_flag_rate
interp_rbf,train,2008-03-11,1610,1479,294,0.19878296146044624,1.377385982516603,1598,86,0.05381727158948686,0.00015472627668731162,1586,26,0.01639344262295082,inf,0.014035509351807793,0.45962732919254656
interp_rbf,train,2008-03-12,1608,1477,261,0.17670954637779282,1.3981760783769388,1596,76,0.047619047619047616,0.0011207278571263835,1584,27,0.017045454545454544,inf,0.01473319190756717,0.40298507462686567
interp_rbf,train,2008-03-13,1608,1477,261,0.17670954637779282,1.6034245653972607,1596,55,0.03446115288220551,7.932846901373917e-05,1584,2,0.0012626262626262627,inf,0.013600294977160874,0.3694029850746269
interp_rbf,val,2020-11-12,9219,8952,616,0.06881143878462913,3.057182919834683,9186,178,0.019377313302852167,0.08474320785346631,9153,2004,0.2189446083251393,inf,0.0076174635598734745,0.6272914632823516
interp_rbf,val,2020-11-13,9066,8800,476,0.05409090909090909,3.9500804491724755,9033,145,0.016052252850658696,0.08009224389968907,9000,1210,0.13444444444444445,inf,0.005847046322422086,0.428524156187955
interp_rbf,val,2020-11-16,8823,8557,523,0.06111955124459507,5.094993049431078,8791,264,0.0300307132294392,0.10748343960460839,8759,1962,0.2239981733074552,inf,0.010673250473384315,0.6060296951150402
interp_rbf,val,2020-11-17,8829,8561,550,0.06424483121130709,3.7263347064633088,8796,148,0.01682582992269213,0.08443993866551149,8763,1413,0.16124614857925368,inf,0.006114154469945915,0.49099558273870203
interp_rbf,val,2020-11-18,8731,8463,537,0.06345267635590217,3.507593583488961,8699,189,0.02172663524543051,0.10710488812005378,8667,2054,0.23699088496596285,inf,0.0065485528406855256,0.6340625357920054
interp_rbf,val,2020-11-19,8673,8405,528,0.062819750148721,3.1706741207192812,8641,172,0.019905103575975004,0.09487002273500066,8609,2244,0.26065745150423975,inf,0.006639461499159365,0.6894961374380261
interp_rbf,val,2020-11-20,8480,8212,612,0.07452508524111057,5.070678538879704,8448,307,0.03633996212121212,0.15538301291158138,8416,857,0.10182984790874525,inf,0.012891518254999148,0.3865566037735849
interp_rbf,val,2020-11-23,8257,7989,432,0.05407435223432219,4.046753457899909,8226,277,0.03367371748115731,0.13350983388277146,8195,1399,0.1707138499084808,inf,0.0077680559555129486,0.5091437568124016
interp_rbf,val,2020-11-24,8261,7993,543,0.06793444263730765,3.7927702032716732,8229,163,0.019807996111313647,0.09184152723142387,8197,1433,0.17482005611809198,inf,0.007134959847273167,0.5102287858612758
interp_rbf,val,2020-11-25,8332,8057,570,0.07074593521161723,5.65328962140903,8300,281,0.03385542168674699,0.11533524465220357,8268,1345,0.16267537493952589,inf,0.013135143356364334,0.514882381180989
interp_rbf,val,2020-11-27,8238,7963,513,0.06442295617229687,5.218527510070201,8206,266,0.03241530587375092,0.1286541961639468,8174,1018,0.12454122828480547,inf,0.011682217839881187,0.42704539936877883
interp_rbf,val,2020-11-30,8078,7803,533,0.06830706138664616,3.3181368857225264,8047,197,0.024481173107990556,0.07357052185450844,8016,1323,0.1650449101796407,inf,0.008421547835681999,0.5116365436989354
interp_rbf,val,2020-12-01,8159,7884,498,0.06316590563165905,4.691160704748403,8127,279,0.03433001107419712,0.14100704865731845,8095,1583,0.1955528103767758,inf,0.009270904705883397,0.5634268905503126
interp_rbf,val,2020-12-02,8009,7734,623,0.08055340056891647,4.621477124701576,7978,189,0.023690147906743543,0.1070363588435996,7947,1588,0.19982383289291555,inf,0.006921433057397854,0.5969534273941816
interp_rbf,val,2020-12-03,8146,7869,655,0.0832380226204092,6.229035175989283,8114,322,0.03968449593295539,0.15159228133363983,8082,933,0.11544172234595397,inf,0.01525260981446613,0.4211883132825927
interp_rbf,val,2020-12-04,8076,7800,703,0.09012820512820513,6.324423139380732,8044,289,0.03592739930382894,0.15036827978047757,8012,821,0.10247129306040939,inf,0.01656507196554105,0.4105993065874195
interp_rbf,val,2020-12-07,8015,7739,690,0.08915880604729293,5.688709178868135,7984,311,0.038952905811623244,0.15219604362123573,7953,1707,0.21463598642021878,inf,0.016779963033922644,0.6316905801621959
interp_rbf,val,2020-12-08,8061,7785,647,0.08310854206807965,4.773946953873878,8029,218,0.027151575538672312,0.14004954017733462,7997,1438,0.1798174315368263,inf,0.008413651808793597,0.5530331224413845
interp_rbf,val,2020-12-09,8072,7794,659,0.08455221965614575,6.0438406734336985,8041,343,0.0426563860216391,0.1747591569009075,8010,826,0.1031210986267166,inf,0.015996348355423465,0.40349355797819625
interp_rbf,val,2020-12-10,8117,7838,689,0.08790507782597601,5.941705860521226,8085,398,0.0492269635126778,0.18217867907672228,8053,1734,0.2153234819321992,inf,0.016145862075752037,0.6280645558703954
interp_rbf,val,2020-12-11,8020,7747,620,0.08003097973409061,6.383591893925425,7988,316,0.039559339008512766,0.14076024564902603,7956,1202,0.15108094519859225,inf,0.011183971223470623,0.506857855361596
interp_rbf,val,2020-12-14,7940,7667,639,0.08334420242598148,3.266109605709154,7909,348,0.04400050575293969,0.12833724354217613,7878,1370,0.1739020055851739,inf,0.007931133164562123,0.545088161209068
interp_rbf,val,2020-12-15,8228,7956,827,0.10394670688788336,6.16622113447292,8196,339,0.04136163982430454,0.18354423562801356,8164,917,0.11232239098481137,inf,0.017896363911333993,0.451507049100632
interp_rbf,val,2020-12-16,8305,8033,894,0.1112909249346446,7.19253183828389,8273,333,0.04025142028284782,0.1851301503076055,8241,1276,0.15483557820652832,inf,0.018591165300747343,0.5359422034918724
interp_rbf,val,2020-12-17,8429,8157,753,0.09231335049650607,5.564294454278334,8397,336,0.04001429081814934,0.1863278743999084,8365,2179,0.26049013747758515,inf,0.008375552102238538,0.7253529481551786
interp_rbf,val,2020-12-18,8159,7887,438,0.05553442373526055,2.7573690775390687,8127,166,0.020425741355973914,0.03766739377656418,8095,1908,0.23570105003088326,inf,0.008557880161885306,0.65302120357887
interp_rbf,val,2020-12-21,8045,7771,427,0.054947883155321064,2.9779789681999635,8014,280,0.03493885700024956,0.07033861725492854,7983,1799,0.22535387698860077,inf,0.0063668166716598,0.6188937228091983
interp_rbf,val,2020-12-22,8062,7788,458,0.058808423215202875,2.9613561387355127,8030,303,0.03773349937733499,0.08047332257721433,7998,932,0.11652913228307077,inf,0.00905797144943842,0.37360456462416275
interp_rbf,val,2020-12-23,8053,7779,553,0.07108882889831598,5.2985349026627935,8022,335,0.04176015956120668,0.07957227892166353,7991,1662,0.2079839819797272,inf,0.010744783149265144,0.5974171116354153
interp_rbf,val,2020-12-24,7929,7655,516,0.0674069235793599,3.5416408381138935,7897,303,0.03836900088641256,0.0737713605514828,7865,1412,0.17952956134774317,inf,0.008897958428164132,0.5294488586202548
interp_rbf,val,2020-12-28,7789,7515,393,0.05229540918163673,2.8984814700221455,7758,125,0.01611240010311936,0.07090436768373806,7727,1731,0.22401967128251585,inf,0.005718559083986452,0.6202336628578765
interp_rbf,val,2020-12-29,8020,7745,351,0.045319561007101355,2.811170107044065,7987,226,0.028295980969074746,0.062326943914574495,7954,1535,0.19298466180538093,inf,0.005775821231107384,0.5448877805486284
interp_rbf,val,2020-12-30,8012,7737,447,0.05777433113609926,3.192207320558307,7980,258,0.032330827067669175,0.07642992662045862,7948,937,0.11789129340714645,inf,0.010471454540891195,0.38929106340489267
interp_rbf,val,2020-12-31,8050,7775,393,0.050546623794212216,2.9775352837189515,8017,137,0.017088686541100163,0.057863274912614775,7984,1460,0.18286573146292584,inf,0.006100363324790196,0.5311801242236025
interp_rbf,val,2021-01-04,8279,8004,419,0.052348825587206396,2.279712256039969,8246,118,0.014309968469560999,0.05371228638201249,8213,1434,0.17460124193352003,inf,0.005637202381499447,0.5178161613721464
interp_rbf,val,2021-01-05,8453,8177,416,0.05087440381558029,2.912369810176079,8419,244,0.028982064378192184,0.08779401731960496,8385,2315,0.2760882528324389,inf,0.007363590314021314,0.7024724949721992
interp_rbf,val,2021-01-06,8567,8291,364,0.04390302737908575,3.1990630805672393,8534,105,0.012303726271385047,0.06228967966404624,8501,1358,0.15974591224561815,inf,0.005351386315579255,0.4648068168553753
interp_rbf,val,2021-01-07,8619,8343,462,0.05537576411362819,4.5656108341872175,8585,231,0.026907396622015144,0.07385823172479032,8551,1372,0.1604490702841773,inf,0.010242634784968799,0.4805661909734308
interp_rbf,val,2021-01-08,8583,8304,523,0.06298169556840078,2.4080823146033694,8549,143,0.016727102585097672,0.06125769468156321,8515,1472,0.17287140340575455,inf,0.006231941223826555,0.5026214610276127
interp_rbf,val,2021-01-11,8490,8206,468,0.05703144040945649,2.753618841790888,8457,145,0.017145559891214378,0.06278042126761146,8424,1469,0.1743827160493827,inf,0.006244664224993042,0.5060070671378092
interp_rbf,val,2021-01-12,8608,8324,457,0.054901489668428644,3.147099003369331,8574,269,0.031373921156986236,0.08665153413928242,8540,607,0.07107728337236534,inf,0.007587184458488542,0.2763708178438662
interp_rbf,val,2021-01-13,8535,8259,493,0.05969245671388788,3.229728554815337,8502,132,0.015525758645024701,0.059757477014905025,8469,1421,0.16778840477033888,inf,0.006251165565985577,0.4959578207381371
