pc_idx,raw_dim_idx,loading
8,58,-0.05169741721429258
8,60,0.14736092681699556
8,61,0.2896874120570764
9,1,-0.08849964351552882
9,2,0.06978321189792928
9,3,-0.21975627657738683
9,6,0.05828718253448861
9,9,0.06411769366392715
9,11,0.19622591519702198
9,12,0.32963744195541067
9,14,0.08298033410708812
9,15,-0.07480549533722594
9,16,0.15600313375161393
9,20,0.09523825529254856
9,21,-0.1945133322678855
9,25,-0.05856031348171952
9,26,0.10715709595258445
9,28,0.28760416110046494
9,30,0.09496625614761883
9,33,-0.10504634365775331
9,35,0.3869068036235973
9,36,-0.078718438234071
9,38,0.10861259308860254
9,39,-0.15707364778892385
9,40,0.14789541916849056
9,43,-0.21562098389870857
9,46,0.14023383189340305
9,48,0.1666936938246612
9,49,-0.17996365620445848
9,50,0.15860386104939958
9,56,-0.1221143339392547
9,57,0.1545909227616044
9,59,0.2554998177084674
9,60,0.22211946157341056
9,62,-0.10713381585968854
9,63,-0.17564890183435386
10,0,0.22543272514551443
10,1,0.13115512219445064
10,2,-0.050500812812225626
10,3,0.09774632441009473
10,4,0.1442621395952081
10,5,0.079056128423222
10,6,0.13706602274182156
10,7,-0.10851061068738553
10,8,-0.1099646494430922
10,9,-0.10395234576508083
10,10,-0.20554574229585693
10,11,0.0945238716386263
10,12,0.24350681503810193
10,13,0.05207561996375237
10,15,0.19151037698810217
10,16,-0.13597784963670012
10,17,0.1450735173985976
10,18,0.06662136669273881
10,19,-0.067463165493362
10,21,-0.07559243898953884
10,23,0.07576126320056917
10,24,0.17854949769080053
10,25,0.11604133116347698
10,27,0.20342515332908517
10,28,-0.05088535410779041
10,29,-0.19984992914195626
10,31,0.17702740941906034
10,32,-0.15778066056202847
10,36,-0.12167522947069691
10,39,0.16216611838768386
10,41,0.13137992769128765
10,42,0.18113764547077277
10,44,0.05768671737094363
10,45,-0.09509686865798662
10,46,-0.16188364528069202
10,48,0.2965927598792933
10,49,-0.08609830692143983
10,50,-0.23941543247029262
10,52,-0.14406960456204612
10,53,-0.09851388771791005
10,54,0.15987946887998092
10,55,0.13821466089064283
10,56,0.16720962228182248
10,58,0.10732386906108797
10,60,0.05636078578832743
10,61,-0.1556147458399685
11,1,0.09118960216378566
11,2,-0.07223239357962274
11,3,0.08678950708625739
11,4,0.12990575896754566
11,5,0.15986465841287564
11,6,0.14221464145307025
11,7,-0.05489139021829246
11,9,-0.23097511617058394
11,10,-0.1222481236156393
11,11,-0.05068867690405142
11,16,0.051936640620803276
11,17,-0.05803278755115783
11,18,-0.27300668087413477
11,19,0.15284002279079684
11,20,0.07762644544552101
11,22,-0.22438546341872867
11,23,0.05079448454341352
11,25,0.05325832972456409
11,28,0.08089471325548593
11,29,0.13850297982688148
11,32,-0.07245180017127845
11,33,-0.147506671254747
11,35,-0.08900900460394623
11,37,0.0981224282005571
11,38,-0.07556158708822702
11,39,-0.2127406819229926
11,41,-0.1272402905990773
11,42,0.16077765197521635
11,43,-0.2225216358095401
11,45,-0.1365900455663137
11,47,0.06467250903069369
11,48,-0.07943384903090318
11,49,-0.13274698803699833
11,50,0.18126007585798712
11,51,-0.11546904484184124
11,52,0.09430636371525287
11,53,0.05746051210081709
11,54,0.12265163561831591
11,55,-0.14444705135001285
11,56,0.19250848391408
11,59,0.15984496954710134
11,60,-0.4620057002922225
11,61,-0.1444492134553284
11,62,0.06690533583208581
11,63,-0.06341508843220332
12,0,0.17871734848293278
12,3,-0.0702337194796048
12,4,0.09596675546950283
12,5,0.08700485189806069
12,6,0.06232783563076349
12,7,0.122354770649338
12,8,-0.1337742641549213
12,9,0.14780177200149094
12,10,-0.07288573887128712
12,11,0.11860297757521787
12,13,0.12961636075990413
12,14,-0.060779186394139095
12,15,-0.12393335964226913
12,16,0.09946225120606372
12,19,0.15151394200027968
12,21,0.0902296937347825
12,22,0.1043558396919718
12,23,-0.12780459563803845
12,24,-0.06786623001940933
12,25,0.1662610732902011
12,29,-0.1413646998794966
12,30,-0.14306862573708762
12,31,-0.06596603859322822
12,32,-0.17325930791191016
12,33,0.2165773224198628
12,35,0.12055646556229632
12,36,-0.08093902220606894
12,37,0.10089086903911773
12,38,-0.1061592809641554
12,39,0.10395855496277627
12,40,0.13706949128650195
12,41,0.15521071224229283
12,42,-0.22126198371907888
12,43,0.09955321595660886
12,44,-0.06408359047776994
12,45,-0.13586340998010837
12,46,0.189639957553089
12,47,-0.24524931200013297
12,48,-0.1716997185492794
12,49,-0.10010468263654633
12,50,-0.07105144594838018
12,52,0.09273487441659106
12,53,0.33020224388901637
12,54,0.09447748588385368
12,56,-0.1929882797995927
12,58,0.05186589265581847
12,60,-0.16505730957886414
12,61,-0.22398324351601678
12,62,0.18274013128646177
13,0,-0.4172928410813523
13,2,0.09575307006588228
13,3,0.1306443461655205
13,4,0.20341410705354473
13,6,-0.2049300835517431
13,7,0.23412574278717993
13,8,-0.06734909415230925
13,11,0.17122712802192036
13,12,-0.0889594783963978
13,15,0.06482932205938322
13,16,-0.17740727651513366
13,17,0.16318814707070928
13,18,0.11941899591651278
13,19,-0.06915562911485457
13,22,0.1315898359666125
13,23,0.1807889553463188
13,27,0.06898406460337203
13,28,0.19661284564418824
13,29,0.15087964675683152
13,30,0.08654136334185442
13,31,0.0887121903612189
13,33,0.0835601304435309
13,34,0.26432611415654794
13,35,0.12245645660648097
13,38,-0.079771433938753
13,39,-0.07429279205446672
13,40,0.06538586249219396
13,42,-0.14206194776774203
13,43,-0.12243954927176405
13,44,0.0927477781087346
13,45,-0.14021536883993674
13,46,-0.1428080726535275
13,47,-0.11558080436631923
13,48,-0.09699659989977187
13,50,-0.13901243352827142
13,52,-0.06967049226074652
13,53,-0.08397278517168028
13,54,-0.05949653174552249
13,55,-0.10282384550997277
13,57,-0.13621294076012813
13,58,0.1576103976028048
13,60,-0.18412519622967616
13,61,-0.09595928478354337
13,62,-0.17445618827703155
13,63,0.12023621494704857
14,0,0.17537567770110185
14,2,-0.07263176066475438
14,3,-0.1767295324740361
14,5,0.12146533896159621
14,6,0.07676537954424864
14,9,-0.20720282157819542
14,12,-0.16217550003347103
14,13,0.11035938635547093
14,14,-0.26298087274572474
14,15,-0.051225823786407304
14,17,-0.10662172845962115
14,18,0.1950859083946157
14,21,-0.18278649067193667
14,22,-0.15317057406822676
14,23,0.07736746936752306
14,25,-0.07254404036370757
14,26,0.18849731733009764
14,28,-0.14819284421128778
14,30,0.08392203863070921
14,31,-0.10881661549706931
14,32,0.07825876999040401
14,33,-0.10388307714998604
14,34,0.19786767624611454
14,35,-0.05931964554703628
14,36,-0.06385511389842065
14,38,0.3553457660117863
14,39,-0.1428433071472669
14,40,0.12722723516833398
14,41,0.07144190454480316
14,42,-0.07276909587344135
14,43,-0.20352886417492036
14,44,-0.062298738202314435
14,46,-0.1118367628408229
14,47,-0.19926592164442541
14,48,-0.06511162519808994
14,49,-0.10301251032142726
